id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage,new_cases_per_million_habitants,new_deaths_per_million_habitants,total_cases_per_million_habitants,total_deaths_per_million_habitants
28796,Denmark,2020-03-01,4.00,,,,1.33,,,0.6872300796482481,
28827,Denmark,2020-04-01,3290.00,3286.00,104.00,,2.75,564.5595104310358,,565.2467405106842,17.867982070854453
28857,Denmark,2020-05-01,9509.00,6219.00,460.00,356.00,4.00,1068.470966333114,61.16347708869409,1633.717706843798,79.03145915954853
28888,Denmark,2020-06-01,11899.00,2390.00,576.00,116.00,4.00,410.61997258982825,19.929672309799198,2044.3376794336261,98.96113146934773
28918,Denmark,2020-07-01,12994.00,1095.00,606.00,30.00,,188.12923430370793,5.154225597361862,2232.466913737334,104.11535706670959
28949,Denmark,2020-08-01,14028.00,1034.00,615.00,9.00,,177.64897558907214,1.5462676792085583,2410.1158893264064,105.66162474591816
28980,Denmark,2020-09-01,17509.00,3481.00,625.00,10.00,35.50,598.061976813888,1.7180751991206205,3008.177866140294,107.37969994503878
29010,Denmark,2020-10-01,28882.00,11373.00,651.00,26.00,40.00,1953.9669239598816,4.466995517713613,4962.144790100176,111.8466954627524
29041,Denmark,2020-11-01,47811.00,18929.00,723.00,72.00,72.50,3252.1445444154224,12.370141433668467,8214.289334515599,124.21683689642086
29071,Denmark,2020-12-01,82470.00,34659.00,846.00,123.00,69.00,5954.676832632158,21.13232494918363,14168.966167147757,145.3491618456045
29102,Denmark,2021-01-01,166567.00,84097.00,1322.00,476.00,65.00,14448.497002044682,81.78037947814153,28617.463169192437,227.12954132374603
29133,Denmark,2021-02-01,199644.00,33077.00,2146.00,824.00,65.00,5682.877336131276,141.56939640753913,34300.340505323715,368.6989377312851
29161,Denmark,2021-03-01,212380.00,12736.00,2366.00,220.00,62.00,2188.140573600022,37.79765438065365,36488.48107892374,406.4965921119388
29192,Denmark,2021-04-01,231957.00,19577.00,2424.00,58.00,65.00,3363.4758173184387,9.964836154899599,39851.956896242176,416.46142826683837
29222,Denmark,2021-05-01,252740.00,20783.00,2490.00,66.00,60.00,3570.6756863323853,11.339296314196094,43422.63258257456,427.8007245810345
29253,Denmark,2021-06-01,282896.00,30156.00,2517.00,27.00,56.00,5181.027570468143,4.638803037625675,48603.6601530427,432.4395276186602
29283,Denmark,2021-07-01,294980.00,12084.00,2536.00,19.00,28.00,2076.1220706173576,3.264342878329179,50679.78222366006,435.70387049698934
29314,Denmark,2021-08-01,318807.00,23827.00,2551.00,15.00,18.50,4093.657776944702,2.577112798680931,54773.440000604765,438.28098329567024
37715,Finland,2020-03-01,6.00,5.00,,,1.33,0.9004788926847076,,1.080574671221649,
37746,Finland,2020-04-01,1446.00,1440.00,17.00,,3.75,259.3379210931958,,260.41849576441746,3.0616282351280057
37776,Finland,2020-05-01,5051.00,3605.00,218.00,201.00,7.00,649.2452816256741,36.199251485925245,909.6637773900916,39.26087972105325
37807,Finland,2020-06-01,6885.00,1834.00,318.00,100.00,7.00,330.29565783675076,18.00957785369415,1239.9594352268423,57.270457574747404
37837,Finland,2020-07-01,7236.00,351.00,328.00,10.00,,63.21361826646647,1.8009577853694152,1303.1730534933088,59.071415360116816
37868,Finland,2020-08-01,7443.00,207.00,329.00,1.00,,37.27982615714689,0.1800957785369415,1340.4528796504558,59.25151113865376
37899,Finland,2020-09-01,8142.00,699.00,336.00,7.00,21.50,125.88694919732212,1.2606704497585906,1466.3398288477779,60.512181588412346
37929,Finland,2020-10-01,10103.00,1961.00,344.00,8.00,46.00,353.1678217109423,1.440766228295532,1819.5076505587201,61.95294781670788
37960,Finland,2020-11-01,16291.00,6188.00,358.00,14.00,59.00,1114.432677586594,2.521340899517181,2933.940328145314,64.47428871622506
37990,Finland,2020-12-01,25462.00,9171.00,399.00,41.00,0.00,1651.6583849622907,7.383926920014602,4585.598713107604,71.85821563623966
38021,Finland,2021-01-01,36403.00,10941.00,561.00,162.00,75.50,1970.4279129726772,29.175516122984526,6556.026626080282,101.0337317592242
38052,Finland,2021-02-01,45482.00,9079.00,677.00,116.00,76.00,1635.089573336892,20.891110310285217,8191.116199417174,121.92484206950941
38080,Finland,2021-03-01,58064.00,12582.00,750.00,73.00,73.00,2265.965085551798,13.146991833196731,10457.081284968972,135.07183390270615
38111,Finland,2021-04-01,78106.00,20042.00,846.00,96.00,76.00,3609.479593437382,17.289194739546385,14066.560878406353,152.36102864225253
38141,Finland,2021-05-01,87096.00,8990.00,914.00,68.00,73.00,1619.0610490471042,12.246512940512023,15685.621927453458,164.60754158276455
38172,Finland,2021-06-01,92642.00,5546.00,956.00,42.00,71.50,998.8111877658777,7.564022698551543,16684.433115219337,172.17156428131608
38202,Finland,2021-07-01,95964.00,3322.00,973.00,17.00,72.00,598.2781762997197,3.0616282351280057,17282.711291519056,175.2331925164441
38233,Finland,2021-08-01,107321.00,11357.00,985.00,12.00,66.00,2045.3477568440449,2.161149342443298,19328.059048363102,177.3943418588874
38322,France,2020-03-01,130.00,124.00,2.00,,11.25,1.893906417196426,,1.9855470502865755,0.030546877696716546
38353,France,2020-04-01,57125.00,56995.00,4779.00,4777.00,38.25,870.5096471621798,72.96121737860747,872.4951942124663,72.9917642563042
38383,France,2020-05-01,169387.00,112262.00,24566.00,19787.00,70.33,1714.6267919943964,302.21553449246517,2587.121986206863,375.20729874876935
38414,France,2020-06-01,191382.00,21995.00,28837.00,4271.00,77.00,335.93928746964025,65.23285732133819,2923.061273676503,440.44015607010755
38444,France,2020-07-01,205234.00,13852.00,29865.00,1028.00,81.25,211.5676749274588,15.701095136112304,3134.628948603962,456.1412512062198
38475,France,2020-08-01,227301.00,22067.00,30268.00,403.00,82.50,337.038975066722,6.155195855888384,3471.667923670684,462.2964470621082
38506,France,2020-09-01,326264.00,98963.00,30673.00,405.00,80.25,1511.5053287500798,6.1857427335851005,4983.173252420764,468.48218979569333
38536,France,2020-10-01,618918.00,292654.00,32035.00,1362.00,82.33,4469.832972727442,20.80242371146397,9453.006225148205,489.2846135071573
38567,France,2020-11-01,1460575.00,841657.00,37058.00,5023.00,83.00,12854.996720792678,76.7184833353036,22308.002945940883,566.0030968424609
38597,France,2020-12-01,2285273.00,824698.00,53595.00,16537.00,81.67,12595.974471363372,252.57685823530076,34903.97741730425,818.5799550777616
38628,France,2021-01-01,2697018.00,411745.00,64891.00,11296.00,77.67,6288.762078617277,172.52876523105505,41192.73949592153,991.1087203088167
38659,France,2021-02-01,3260382.00,563364.00,76656.00,11765.00,79.75,8604.50560336651,179.69200805093507,49797.24509928804,1170.8007283597517
38687,France,2021-03-01,3820418.00,560036.00,86954.00,10298.00,79.00,8553.675598879174,157.2858732603935,58350.92069816722,1328.0866016201453
38718,France,2021-04-01,4755862.00,935444.00,96106.00,9152.00,78.50,14287.446730063657,139.78251234017492,72638.36742823088,1467.8691139603202
38748,France,2021-05-01,5703499.00,947637.00,104868.00,8762.00,81.00,14473.675769941688,133.8258711893152,87112.04319817257,1601.6949851496354
