id,date,location,mask_use_percentage
1,2020-03-01,Denmark,1.333.333.333
2,2020-04-01,Denmark,2.75
3,2020-05-01,Denmark,4
4,2020-06-01,Denmark,4
5,2020-07-01,Denmark,
6,2020-08-01,Denmark,
7,2020-09-01,Denmark,35.5
8,2020-10-01,Denmark,40
9,2020-11-01,Denmark,72.5
10,2020-12-01,Denmark,69
11,2021-01-01,Denmark,65
12,2021-02-01,Denmark,65
13,2021-03-01,Denmark,62
14,2021-04-01,Denmark,65
15,2021-05-01,Denmark,60
16,2021-06-01,Denmark,56
17,2021-07-01,Denmark,28
18,2021-08-01,Denmark,18.5
19,2021-09-01,Denmark,11
20,2020-03-01,Finland,1.333.333.333
21,2020-04-01,Finland,3.75
22,2020-05-01,Finland,7
23,2020-06-01,Finland,7
24,2020-07-01,Finland,
25,2020-08-01,Finland,
26,2020-09-01,Finland,21.5
27,2020-10-01,Finland,46
28,2020-11-01,Finland,59
29,2020-12-01,Finland,0
30,2021-01-01,Finland,75.5
31,2021-02-01,Finland,76
32,2021-03-01,Finland,73
33,2021-04-01,Finland,76
34,2021-05-01,Finland,73
35,2021-06-01,Finland,71.5
36,2021-07-01,Finland,72
37,2021-08-01,Finland,66
38,2021-09-01,Finland,66
39,2020-03-01,France,11.25
40,2020-04-01,France,38.25
41,2020-05-01,France,7.033.333.333
42,2020-06-01,France,77
43,2020-07-01,France,81.25
44,2020-08-01,France,82.5
45,2020-09-01,France,80.25
46,2020-10-01,France,8.233.333.333
47,2020-11-01,France,83
48,2020-12-01,France,8.166.666.667
49,2021-01-01,France,7.766.666.667
50,2021-02-01,France,79.75
51,2021-03-01,France,79
52,2021-04-01,France,78.5
53,2021-05-01,France,81
54,2021-06-01,France,77.6
55,2021-07-01,France,75
56,2021-08-01,France,77
57,2021-09-01,France,74.25
58,2020-03-01,Germany,3.25
59,2020-04-01,Germany,23.25
60,2020-05-01,Germany,63
61,2020-06-01,Germany,64
62,2020-07-01,Germany,6.533.333.333
63,2020-08-01,Germany,64.5
64,2020-09-01,Germany,63
65,2020-10-01,Germany,64
66,2020-11-01,Germany,70.5
67,2020-12-01,Germany,73
68,2021-01-01,Germany,73.5
69,2021-02-01,Germany,72.5
70,2021-03-01,Germany,70
71,2021-04-01,Germany,70.5
72,2021-05-01,Germany,68.5
73,2021-06-01,Germany,67
74,2021-07-01,Germany,6.133.333.333
75,2021-08-01,Germany,63.5
76,2021-09-01,Germany,61
77,2020-03-01,Italy,5.166.666.667
78,2020-04-01,Italy,83.6
79,2020-05-01,Italy,85
80,2020-06-01,Italy,84
81,2020-07-01,Italy,83.25
82,2020-08-01,Italy,83.5
83,2020-09-01,Italy,85
84,2020-10-01,Italy,87.25
85,2020-11-01,Italy,87
86,2020-12-01,Italy,84.75
87,2021-01-01,Italy,85
88,2021-02-01,Italy,84
89,2021-03-01,Italy,85
90,2021-04-01,Italy,83.5
91,2021-05-01,Italy,8.233.333.333
92,2021-06-01,Italy,79.75
93,2021-07-01,Italy,7.733.333.333
94,2021-08-01,Italy,77.4
95,2021-09-01,Italy,7.733.333.333
96,2020-03-01,Norway,3.333.333.333
97,2020-04-01,Norway,5.25
98,2020-05-01,Norway,6
99,2020-06-01,Norway,
100,2020-07-01,Norway,
101,2020-08-01,Norway,
102,2020-09-01,Norway,17
103,2020-10-01,Norway,24
104,2020-11-01,Norway,43.5
105,2020-12-01,Norway,48
106,2021-01-01,Norway,62
107,2021-02-01,Norway,6.133.333.333
108,2021-03-01,Norway,68.5
109,2021-04-01,Norway,76
110,2021-05-01,Norway,69
111,2021-06-01,Norway,63
112,2021-07-01,Norway,51.5
113,2021-08-01,Norway,45
114,2021-09-01,Norway,46
115,2020-03-01,Spain,24
116,2020-04-01,Spain,60.8
117,2020-05-01,Spain,85
118,2020-06-01,Spain,84.75
119,2020-07-01,Spain,88
120,2020-08-01,Spain,89
121,2020-09-01,Spain,88.4
122,2020-10-01,Spain,89
123,2020-11-01,Spain,88
124,2020-12-01,Spain,85.5
125,2021-01-01,Spain,88.5
126,2021-02-01,Spain,87
127,2021-03-01,Spain,86.75
128,2021-04-01,Spain,89
129,2021-05-01,Spain,87
130,2021-06-01,Spain,84.75
131,2021-07-01,Spain,84.2
132,2021-08-01,Spain,84
133,2021-09-01,Spain,83.25
134,2020-03-01,Sweden,1
135,2020-04-01,Sweden,5.25
136,2020-05-01,Sweden,3
137,2020-06-01,Sweden,5.5
138,2020-07-01,Sweden,
139,2020-08-01,Sweden,
140,2020-09-01,Sweden,7.5
141,2020-10-01,Sweden,9
142,2020-11-01,Sweden,12
143,2020-12-01,Sweden,16
144,2021-01-01,Sweden,29
145,2021-02-01,Sweden,33
146,2021-03-01,Sweden,36.5
147,2021-04-01,Sweden,43
148,2021-05-01,Sweden,43
149,2021-06-01,Sweden,3.266.666.667
150,2021-07-01,Sweden,23
151,2021-08-01,Sweden,22
152,2021-09-01,Sweden,23
153,2020-03-01,United Kingdom,2.5
154,2020-04-01,United Kingdom,10.25
155,2020-05-01,United Kingdom,18
156,2020-06-01,United Kingdom,2.633.333.333
157,2020-07-01,United Kingdom,50
158,2020-08-01,United Kingdom,7.133.333.333
159,2020-09-01,United Kingdom,7.433.333.333
160,2020-10-01,United Kingdom,75
161,2020-11-01,United Kingdom,74.5
162,2020-12-01,United Kingdom,76.5
163,2021-01-01,United Kingdom,7.333.333.333
164,2021-02-01,United Kingdom,75.5
165,2021-03-01,United Kingdom,73
166,2021-04-01,United Kingdom,73
167,2021-05-01,United Kingdom,72.5
168,2021-06-01,United Kingdom,72
169,2021-07-01,United Kingdom,6.766.666.667
170,2021-08-01,United Kingdom,64
171,2021-09-01,United Kingdom,60.5
