id,location,date,new_cases,total_cases,new_deaths,total_deaths
1610,Alabama,2020-04-01,1108,1108,28,28
3260,Alabama,2020-05-01,7294,8402,289,317
4965,Alabama,2020-06-01,18534,26936,646,963
6615,Alabama,2020-07-01,38962,65898,972,1935
8320,Alabama,2020-08-01,89349,155247,1603,3538
10025,Alabama,2020-09-01,127616,282863,2200,5738
11675,Alabama,2020-10-01,155744,438607,2548,8286
13380,Alabama,2020-11-01,193985,632592,2973,11259
15030,Alabama,2020-12-01,252900,885492,3638,14897
16735,Alabama,2021-01-01,365747,1251239,4872,19769
18440,Alabama,2021-02-01,460860,1712099,7688,27457
19980,Alabama,2021-03-01,493769,2205868,9931,37388
21685,Alabama,2021-04-01,515866,2721734,10553,47941
23335,Alabama,2021-05-01,528309,3250043,10913,58854
25040,Alabama,2021-06-01,544045,3794088,11156,70010
26690,Alabama,2021-07-01,550983,4345071,11352,81362
28395,Alabama,2021-08-01,587405,4932476,11536,92898
1611,Alaska,2020-04-01,143,143,2,2
3261,Alaska,2020-05-01,362,505,7,9
4966,Alaska,2020-06-01,476,981,8,17
6616,Alaska,2020-07-01,1174,2155,12,29
8321,Alaska,2020-08-01,3825,5980,22,51
10026,Alaska,2020-09-01,6109,12089,36,87
11676,Alaska,2020-10-01,8838,20927,53,140
13381,Alaska,2020-11-01,16597,37524,78,218
15031,Alaska,2020-12-01,32911,70435,116,334
16736,Alaska,2021-01-01,46740,117175,198,532
18441,Alaska,2021-02-01,54091,171266,253,785
19981,Alaska,2021-03-01,58229,229495,289,1074
21686,Alaska,2021-04-01,62785,292280,299,1373
23336,Alaska,2021-05-01,67598,359878,330,1703
25041,Alaska,2021-06-01,69737,429615,352,2055
26691,Alaska,2021-07-01,70669,500284,360,2415
28396,Alaska,2021-08-01,74853,575137,372,2787
33,Arizona,2020-02-01,1,1,0,0
241,Arizona,2020-03-01,1,2,0,0
1612,Arizona,2020-04-01,1413,1415,29,29
3262,Arizona,2020-05-01,7962,9377,330,359
4967,Arizona,2020-06-01,20123,29500,918,1277
6617,Arizona,2020-07-01,84152,113652,1726,3003
8322,Arizona,2020-08-01,177019,290671,3753,6756
10027,Arizona,2020-09-01,202375,493046,5048,11804
11677,Arizona,2020-10-01,219214,712260,5674,17478
13382,Arizona,2020-11-01,247484,959744,5981,23459
15032,Arizona,2020-12-01,338254,1297998,6692,30151
16737,Arizona,2021-01-01,530267,1828265,9015,39166
18442,Arizona,2021-02-01,762458,2590723,13124,52290
19982,Arizona,2021-03-01,818268,3408991,15979,68269
21687,Arizona,2021-04-01,842200,4251191,16977,85246
23337,Arizona,2021-05-01,863571,5114762,17338,102584
25042,Arizona,2021-06-01,881454,5996216,17628,120212
26692,Arizona,2021-07-01,895347,6891563,17939,138151
28397,Arizona,2021-08-01,929541,7821104,18251,156402
1613,Arkansas,2020-04-01,624,624,10,10
3263,Arkansas,2020-05-01,3310,3934,64,74
4968,Arkansas,2020-06-01,7443,11377,133,207
6618,Arkansas,2020-07-01,21197,32574,277,484
8323,Arkansas,2020-08-01,43173,75747,458,942
10028,Arkansas,2020-09-01,61497,137244,814,1756
11678,Arkansas,2020-10-01,84821,222065,1384,3140
13383,Arkansas,2020-11-01,113057,335122,1958,5098
15033,Arkansas,2020-12-01,159309,494431,2512,7610
16738,Arkansas,2021-01-01,229442,723873,3711,11321
18443,Arkansas,2021-02-01,296494,1020367,4895,16216
19983,Arkansas,2021-03-01,322509,1342876,5250,21466
21688,Arkansas,2021-04-01,330609,1673485,5636,27102
23338,Arkansas,2021-05-01,335968,2009453,5741,32843
25043,Arkansas,2021-06-01,341450,2350903,5834,38677
26693,Arkansas,2021-07-01,350085,2700988,5909,44586
28398,Arkansas,2021-08-01,388436,3089424,6157,50743
34,California,2020-02-01,3,3,0,0
242,California,2020-03-01,33,36,0,0
1614,California,2020-04-01,9857,9893,212,212
3264,California,2020-05-01,52318,62211,2147,2359
4969,California,2020-06-01,115643,177854,4287,6646
6619,California,2020-07-01,239764,417618,6168,12814
8324,California,2020-08-01,509507,927125,9365,22179
10029,California,2020-09-01,716630,1643755,13149,35328
11679,California,2020-10-01,824307,2468062,15989,51317
13384,California,2020-11-01,938897,3406959,17671,68988
15034,California,2020-12-01,1253905,4660864,19327,88315
16739,California,2021-01-01,2345811,7006675,26236,114551
18444,California,2021-02-01,3341656,10348331,41284,155835
19984,California,2021-03-01,3573775,13922106,52487,208322
21689,California,2021-04-01,3671690,17593796,59396,267718
23339,California,2021-05-01,3743780,21337576,61853,329571
25044,California,2021-06-01,3791188,25128764,63260,392831
26694,California,2021-07-01,3866606,28995370,63709,456540
28399,California,2021-08-01,4040811,33036181,64417,520957
1615,Colorado,2020-04-01,3346,3346,80,80
3265,Colorado,2020-05-01,15661,19007,818,898
4970,Colorado,2020-06-01,26563,45570,1458,2356
6620,Colorado,2020-07-01,33012,78582,1697,4053
8325,Colorado,2020-08-01,47357,125939,1846,5899
10030,Colorado,2020-09-01,58118,184057,1953,7852
11680,Colorado,2020-10-01,71723,255780,2064,9916
13385,Colorado,2020-11-01,110640,366420,2312,12228
15035,Colorado,2020-12-01,238779,605199,3136,15364
16740,Colorado,2021-01-01,338357,943556,4936,20300
18445,Colorado,2021-02-01,399384,1342940,5737,26037
19985,Colorado,2021-03-01,432186,1775126,6046,32083
21690,Colorado,2021-04-01,466368,2241494,6183,38266
23340,Colorado,2021-05-01,515125,2756619,6434,44700
25045,Colorado,2021-06-01,546596,3303215,6723,51423
26695,Colorado,2021-07-01,561460,3864675,6952,58375
28400,Colorado,2021-08-01,578713,4443388,7097,65472
1616,Connecticut,2020-04-01,3557,3557,85,85
3266,Connecticut,2020-05-01,28764,32321,2339,2424
4971,Connecticut,2020-06-01,42740,75061,3964,6388
6621,Connecticut,2020-07-01,46572,121633,4324,10712
8326,Connecticut,2020-08-01,49810,171443,4432,15144
10031,Connecticut,2020-09-01,53006,224449,4466,19610
11681,Connecticut,2020-10-01,57742,282191,4511,24121
13386,Connecticut,2020-11-01,71207,353398,4616,28737
15036,Connecticut,2020-12-01,118754,472152,5040,33777
16741,Connecticut,2021-01-01,185708,657860,5995,39772
18446,Connecticut,2021-02-01,253954,911814,7119,46891
19986,Connecticut,2021-03-01,282626,1194440,7651,54542
21691,Connecticut,2021-04-01,312468,1506908,7900,62442
23341,Connecticut,2021-05-01,339233,1846141,8097,70539
25046,Connecticut,2021-06-01,347563,2193704,8244,78783
26696,Connecticut,2021-07-01,349387,2543091,8279,87062
28401,Connecticut,2021-08-01,354335,2897426,8293,95355
1617,Delaware,2020-04-01,368,368,11,11
3267,Delaware,2020-05-01,4918,5286,159,170
4972,Delaware,2020-06-01,9605,14891,368,538
6622,Delaware,2020-07-01,11510,26401,509,1047
8327,Delaware,2020-08-01,14877,41278,585,1632
10032,Delaware,2020-09-01,17535,58813,605,2237
11682,Delaware,2020-10-01,20787,79600,636,2873
13387,Delaware,2020-11-01,25126,104726,710,3583
15037,Delaware,2020-12-01,36343,141069,777,4360
16742,Delaware,2021-01-01,58064,199133,930,5290
18447,Delaware,2021-02-01,78495,277628,1101,6391
19987,Delaware,2021-03-01,87080,364708,1422,7813
21692,Delaware,2021-04-01,95188,459896,1559,9372
23342,Delaware,2021-05-01,104621,564517,1626,10998
25047,Delaware,2021-06-01,108894,673411,1661,12659
26697,Delaware,2021-07-01,109770,783181,1694,14353
