date,location,mask_use_percentage
2020-04-01,Alabama,24.67
2020-04-01,Alaska,33.30
2020-04-01,Arizona,14.90
2020-04-01,Arkansas,27.57
2020-04-01,California,38.07
2020-04-01,Colorado,31.10
2020-04-01,Connecticut,22.97
2020-04-01,Delaware,25.47
2020-04-01,District of Columbia,25.63
2020-04-01,Florida,35.03
2020-04-01,Georgia,24.60
2020-04-01,Hawaii,34.10
2020-04-01,Idaho,20.80
2020-04-01,Illinois,21.63
2020-04-01,Indiana,22.67
2020-04-01,Iowa,21.63
2020-04-01,Kansas,25.00
2020-04-01,Kentucky,17.20
2020-04-01,Louisiana,27.63
2020-04-01,Maine,22.97
2020-04-01,Maryland,23.87
2020-04-01,Massachusetts,23.10
2020-04-01,Michigan,30.23
2020-04-01,Minnesota,21.70
2020-04-01,Mississippi,18.03
2020-04-01,Missouri,21.83
2020-04-01,Montana,21.00
2020-04-01,Nebraska,21.67
2020-04-01,Nevada,21.27
2020-04-01,New Hampshire,23.10
2020-04-01,New Jersey,37.20
2020-04-01,New Mexico,21.00
2020-04-01,New York,36.17
2020-04-01,North Carolina,27.03
2020-04-01,North Dakota,21.30
2020-04-01,Ohio,18.73
2020-04-01,Oklahoma,27.87
2020-04-01,Oregon,24.47
2020-04-01,Pennsylvania,32.20
2020-04-01,Rhode Island,22.30
2020-04-01,South Carolina,17.87
2020-04-01,South Dakota,21.47
2020-04-01,Tennessee,17.47
2020-04-01,Texas,32.40
2020-04-01,Utah,21.23
2020-04-01,Vermont,21.63
2020-04-01,Virginia,25.03
2020-04-01,Washington,22.53
2020-04-01,West Virginia,22.57
2020-04-01,Wisconsin,22.47
2020-04-01,Wyoming,20.83
2020-05-01,Alabama,30.13
2020-05-01,Alaska,42.42
2020-05-01,Arizona,17.55
2020-05-01,Arkansas,38.19
2020-05-01,California,45.23
2020-05-01,Colorado,45.71
2020-05-01,Connecticut,47.68
2020-05-01,Delaware,36.39
2020-05-01,District of Columbia,36.39
2020-05-01,Florida,43.45
2020-05-01,Georgia,32.13
2020-05-01,Hawaii,42.52
2020-05-01,Idaho,28.03
2020-05-01,Illinois,30.87
2020-05-01,Indiana,23.71
2020-05-01,Iowa,24.61
2020-05-01,Kansas,24.61
2020-05-01,Kentucky,25.52
2020-05-01,Louisiana,38.19
2020-05-01,Maine,47.68
2020-05-01,Maryland,36.35
2020-05-01,Massachusetts,47.68
2020-05-01,Michigan,37.42
2020-05-01,Minnesota,24.61
2020-05-01,Mississippi,27.84
2020-05-01,Missouri,26.23
2020-05-01,Montana,28.03
2020-05-01,Nebraska,24.61
2020-05-01,Nevada,28.03
2020-05-01,New Hampshire,47.52
2020-05-01,New Jersey,50.03
2020-05-01,New Mexico,28.03
2020-05-01,New York,46.16
2020-05-01,North Carolina,31.39
2020-05-01,North Dakota,24.61
2020-05-01,Ohio,25.77
2020-05-01,Oklahoma,38.19
2020-05-01,Oregon,31.55
2020-05-01,Pennsylvania,51.20
2020-05-01,Rhode Island,45.80
2020-05-01,South Carolina,27.23
2020-05-01,South Dakota,24.60
2020-05-01,Tennessee,22.47
2020-05-01,Texas,43.77
2020-05-01,Utah,27.93
2020-05-01,Vermont,45.80
2020-05-01,Virginia,40.57
2020-05-01,Washington,35.40
2020-05-01,West Virginia,36.30
2020-05-01,Wisconsin,29.57
2020-05-01,Wyoming,27.93
2020-06-01,Alabama,27.60
2020-06-01,Alaska,46.03
2020-06-01,Arizona,21.77
2020-06-01,Arkansas,36.90
2020-06-01,California,48.70
